Dataset,ActualValue,PredictedValue,ActualRegime,PredictedRegime
UniSolar_External_Test,0.11749999997846311,151.58945,Critical_Low,Surplus
UniSolar_External_Test,0.25979999999981374,151.58945,Critical_Low,Surplus
UniSolar_External_Test,0.3906624999945052,151.58945,Critical_Low,Surplus
UniSolar_External_Test,0.6373250000015105,154.18082,Low,Surplus
UniSolar_External_Test,0.9785250000022644,154.18082,Low,Surplus
UniSolar_External_Test,1.4462375000020984,154.18082,Low,Surplus
UniSolar_External_Test,1.8995444444380054,154.18082,Low,Surplus
UniSolar_External_Test,2.6454222222229067,154.18082,Normal,Surplus
UniSolar_External_Test,3.4197111111158542,154.18082,Normal,Surplus
UniSolar_External_Test,4.190188888889679,154.18082,Normal,Surplus
UniSolar_External_Test,5.082377777772813,154.18082,Normal,Surplus
UniSolar_External_Test,5.981044444446322,143.87112,Normal,Surplus
UniSolar_External_Test,6.777933333337488,143.87112,Normal,Surplus
UniSolar_External_Test,7.605155555547551,143.87112,Normal,Surplus
UniSolar_External_Test,8.424377777786706,143.87112,Normal,Surplus
UniSolar_External_Test,9.189066666661043,141.84665,Normal,Surplus
UniSolar_External_Test,9.890777777778567,141.84665,High,Surplus
UniSolar_External_Test,10.379700000004958,141.84665,High,Surplus
UniSolar_External_Test,10.866055555553531,141.84665,High,Surplus
UniSolar_External_Test,11.423677777774477,187.72717,High,Surplus
UniSolar_External_Test,11.655666666665638,187.72717,High,Surplus
UniSolar_External_Test,12.179200000003524,187.72717,High,Surplus
UniSolar_External_Test,12.53457777777496,187.72717,High,Surplus
UniSolar_External_Test,12.883400000000417,189.07388,High,Surplus
UniSolar_External_Test,13.76721250000719,189.07388,High,Surplus
UniSolar_External_Test,13.927262499993049,189.07388,High,Surplus
UniSolar_External_Test,13.66024285714541,189.07388,High,Surplus
UniSolar_External_Test,13.46139999999494,98.62011,High,High
UniSolar_External_Test,13.618285714287984,98.62011,High,High
UniSolar_External_Test,12.633533333337253,98.62011,High,High
UniSolar_External_Test,11.27679999999673,98.62011,High,High
UniSolar_External_Test,11.311840000007942,124.20121,High,Surplus
UniSolar_External_Test,11.209314285706828,124.20121,High,Surplus
UniSolar_External_Test,11.031671428574814,124.20121,High,Surplus
UniSolar_External_Test,12.191212500004438,124.20121,High,Surplus
UniSolar_External_Test,12.023899999989226,116.26677,High,High
UniSolar_External_Test,12.471166666670696,116.26677,High,High
UniSolar_External_Test,12.178199999999682,116.26677,High,High
UniSolar_External_Test,9.306244444440786,116.26677,Normal,High
UniSolar_External_Test,10.429788888893704,112.747086,High,High
UniSolar_External_Test,10.388122222223805,112.747086,High,High
UniSolar_External_Test,10.430644444437348,112.747086,High,High
UniSolar_External_Test,9.85487777778245,112.747086,High,High
UniSolar_External_Test,9.167300000000978,112.747086,Normal,High
UniSolar_External_Test,8.428588888895725,112.747086,Normal,High
UniSolar_External_Test,7.700155555547907,112.747086,Normal,High
UniSolar_External_Test,6.884533333333416,112.747086,Normal,High
UniSolar_External_Test,6.008600000000216,112.747086,Normal,High
UniSolar_External_Test,5.148011111107836,112.747086,Normal,High
UniSolar_External_Test,4.286222222217475,112.747086,Normal,High
UniSolar_External_Test,3.4189777777864947,112.747086,Normal,High
UniSolar_External_Test,2.608022222213751,112.747086,Normal,High
UniSolar_External_Test,1.8622444444473432,112.747086,Low,High
UniSolar_External_Test,1.2178666666707914,112.747086,Low,High
UniSolar_External_Test,0.7499555555591036,112.747086,Low,High
UniSolar_External_Test,0.4674222222157469,112.747086,Critical_Low,High
UniSolar_External_Test,0.25073333334229475,112.747086,Critical_Low,High
UniSolar_External_Test,0.1864999999913076,112.747086,Critical_Low,High
UniSolar_External_Test,0.23539999999920838,151.58945,Critical_Low,Surplus
UniSolar_External_Test,0.35527499999079737,151.58945,Critical_Low,Surplus
UniSolar_External_Test,0.5897124999992229,154.18082,Low,Surplus
UniSolar_External_Test,0.8637000000053376,154.18082,Low,Surplus
UniSolar_External_Test,1.3241000000052736,154.18082,Low,Surplus
UniSolar_External_Test,1.7346555555446281,154.18082,Low,Surplus
UniSolar_External_Test,2.3335444444593225,154.18082,Low,Surplus
UniSolar_External_Test,3.011044444431415,154.18082,Normal,Surplus
UniSolar_External_Test,3.6777333333359112,154.18082,Normal,Surplus
UniSolar_External_Test,4.420533333336708,154.18082,Normal,Surplus
UniSolar_External_Test,5.290044444443386,143.87112,Normal,Surplus
UniSolar_External_Test,5.953622222224011,143.87112,Normal,Surplus
UniSolar_External_Test,6.562944444440493,143.87112,Normal,Surplus
UniSolar_External_Test,7.135922222227641,143.87112,Normal,Surplus
UniSolar_External_Test,7.6016222222194,141.84665,Normal,Surplus
UniSolar_External_Test,8.272911111113595,141.84665,Normal,Surplus
UniSolar_External_Test,8.843188888880832,141.84665,Normal,Surplus
UniSolar_External_Test,9.30280000000736,141.84665,Normal,Surplus
